N5,人,子,女,男,目,口,耳,手,足,力
Pictographs 2,"person, ひと、にん","child, こ、し","woman, おんな、じょ","man, おとこ、だん","eye, め、もく","mouth, くち、こう","ear, みみ、じ","hand, て","leg, あし、た","power, ちから,りょく"
N5,父,母,先,生,学,校,友,本,每,何
Pictographs 3,"father, ちち、とう","mother, はは、ぼ","foregoing, さき、せん","be born, い、せい","study, がく","school, こう","friend, とも、ゆう","book, ほん、もと","every, まい","what, なん、なに"
N5,前,後,外,左,右,東,西,南,北,名
Directions,"front, まえ、ぜん","back, after, うし,あと,ご","outside, そと、がい","left, ひだり、さ","right, みぎ、ゆう","east, ひがし,とう","west, にし、せい","south, みなみ、なん","north, きた、ほっ","name, な、めい"
N5,牛,馬,魚,貝,雨,天,気,車,門,午
Pictographs 4,"cow, うし,ぎゅう","horse, うま、ば","fish, さかな,ぎょ","shellfish, かい","rain, あめ、う","heaven, てん","spirit,き","car,くるま,しゃ","gate,もん","noon,ご"
N5,大,小,高,安,新,古,長,多,少,早
Adjective,"big,おお、だい","small, ちい、しょう","tall,high, たか、こう","cheap, やす、あん","new, あたら,しん","old, ふる、こ","long, なが、ちょう","many, おお、た","few, すく、しょう","early, はや、そう"
N5,行,来,食,見,入,出,立,書,言,飲
Verb,"go, い、こう","come, く、らい","eat, たべ、しょく","see, み、けん","enter, put in, はい,い,にゅう","go/take out, で,だ","stand, た","write, か、しょ","say, い、げん",drink の、いん
N5,話,読,語,間,聞,買,休,時,週,道
Combination 1,"speak, はな,わ","read, よ, どく","word, ご、かた","between, あいだ、かん","listen, き、ぶん","buy, か、ばい","rest, やす、きゅう","time, とき、じ","week, しゅう","street, みち、どう"
N5,今,会,社,店,駅,花,国,白,空,電
Combination 2,"now, いま、こん","meet, あ、かい","company, しゃ","shop, みせ、てん","station, えき","flower, はな、か","country, くに、こく","white, しろ、はく","sky, empty, そら、くう","electricity, でん"
N4,住,所,京,都,府,県,市,区,町,村
ADDRESS,"live,じゅう,す","Place,しょ,ところ","Capital,きょう,みやこ","Metropolis,と,みやこ","Government,ふ,-","Prefecture,けん,-","City,し,いち","District,く,-","Town,ちょう,まち","Village,そん,むら"
N4,明,暗,遠,近,強,弱,重,軽,太,細
ADJECTIVE 1,"Bright,めい,あ","Dark,あん,くら","Far,えん,とお","Near,きん,ちか","Strong,きょう,つよ","Weak,じゃく,よわ","Heavy,じゅう,おも","Lightweight,けい,かる","Fat,たい,ふと","Thin,さい,ほそ"
N4,特,別,有,便,利,不,切,元,好,急
ADJECTIVE 2,"Special,とく,-","Separate,べつ,わか","Have,ゆう,あ","Convenience,べん,たよ","Benefit,り,き","Not,ふ,-","Cut,せつ,き","Origin,げん,もと","Like,こう,す","Hurry,きゅう,いそ"
N4,低,広,短,良,悪,正,変,赤,青,黒
ADJECTIVE 3,"Low,てい,ひく","Wide,こう,ひろ","Short,たん,みじか","Good,りょう,よ","Bad,あく,わる","Correct,せい,ただ","Strange,へん,か","Red,せき,あか","Blue,せい,あお","Black,こく,くろ"
N4,映,画,音,楽,歌,写,真,旅,世,界
HOBBY,"Reflect,えい,うつ","Picture,が,-","Sound,おん,おと","Enjoyable,らく,たの","Song,か,うた","Copy,しゃ,うつ","Reality,しん,ま","Travel,りょ,たび","World,せ,よ","World,かい,-"
N4,仕,事,銀,員,医,者,働,屋,産,業
PROFESSION,"Doing,し,つか","Matter,じ,こと","Silver,ぎん,-","Member,いん,-","Medicine,い,-","Someone,しゃ,もの","Work,どう,はたら","Roof,おく,や","Give Birth,さん,う","Business,ぎょう,-"
N4,林,森,地,池,海,洋,雪,光,台,風
NATURE,"Forest,りん,はやし","Forest,しん,もり","Earth,ち,-","Pond,ち,いけ","Sea,かい,うみ","Ocean,よう,-","Snow,せつ,ゆき","Light,こう,ひかり","Machine,だい,-","Wind,ふう,かぜ"
