住,所,京,都,府,県,市,区,町,村
"live,じゅう,す","Place,しょ,ところ","Capital,きょう,みやこ","Metropolis,と,みやこ","Government,ふ,-","Prefecture,けん,-","City,し,いち","District,く,-","Town,ちょう,まち","Village,そん,むら"
明,暗,遠,近,強,弱,重,軽,太,細
"Bright,めい,あ","Dark,あん,くら","Far,えん,とお","Near,きん,ちか","Strong,きょう,つよ","Weak,じゃく,よわ","Heavy,じゅう,おも","Lightweight,けい,かる","Fat,たい,ふと","Thin,さい,ほそ"
特,別,有,便,利,不,切,元,好,急
"Special,とく,-","Separate,べつ,わか","Have,ゆう,あ","Convenience,べん,たよ","Benefit,り,き","Not,ふ,-","Cut,せつ,き","Origin,げん,もと","Like,こう,す","Hurry,きゅう,いそ"
低,広,短,良,悪,正,変,赤,青,黒
"Low,てい,ひく","Wide,こう,ひろ","Short,たん,みじか","Good,りょう,よ","Bad,あく,わる","Correct,せい,ただ","Strange,へん,か","Red,せき,あか","Blue,せい,あお","Black,こく,くろ"
映,画,音,楽,歌,写,真,旅,世,界
"Reflect,えい,うつ","Picture,が,-","Sound,おん,おと","Enjoyable,らく,たの","Song,か,うた","Copy,しゃ,うつ","Reality,しん,ま","Travel,りょ,たび","World,せ,よ","World,かい,-"
仕,事,銀,員,医,者,働,屋,産,業
"Doing,し,つか","Matter,じ,こと","Silver,ぎん,-","Member,いん,-","Medicine,い,-","Someone,しゃ,もの","Work,どう,はたら","Roof,おく,や","Give Birth,さん,う","Business,ぎょう,-"
林,森,地,池,海,洋,雪,光,台,風
"Forest,りん,はやし","Forest,しん,もり","Earth,ち,-","Pond,ち,いけ","Sea,かい,うみ","Ocean,よう,-","Snow,せつ,ゆき","Light,こう,ひかり","Machine,だい,-","Wind,ふう,かぜ"
季,節,春,夏,秋,冬,暑,寒,暖,涼
"Seasons,き,-","Season,せつ,ふし","Spring,しゅん,はる","Summer,げ,なつ","Autumn,-,あき","Winter,とう,ふゆ","Hot,しょ,あつ","Cold,かん,さむ","Warm,だん,あたた","Cool,りょう,すず"
体,頭,顔,首,心,声,病,薬,科,内
"Body,たい,からだ","Head,ず,あたま","Face,がん,かお","Neck,しゅ,くび","Heart,しん,こころ","Voice,せい,こえ","Sick,びょう,や","Medicine,やく,くすり","Course(of study),か,-","Within,ない,うち"
朝,昼,夜,夕,方,晚,計,曜,以,度
"Morning,ちょう,あさ","Noon,ちゅう,ひる","Night,や,よ","Evening,せき,ゆう","Direction,ほう,かた","night,ばん,-","Measure,けい,はか","Weekday,よう,-","From,since,い,-","Occurrence,ど,たび"
止,歩,走,起,持,待,借,貸,始,終
"Stop,し,と","Walk,ほ,ある","Run,そう,はし","Wake Up,き,お","Hold,じ,も","Wait,たい,ま","Borrow,しゃく,か","Lend,たい,か","Begin,し,はじ","End,しゅう,おわ"
家,族,私,自,親,両,兄,弟,姉,妹
"House,か,いえ","Family,ぞく,-","I,し,わたし","Self,じ,-","Parent,しん,おや","Both,りょう,-","Older Brother,きょう,あに","Younger Brother,だい,おとうと","Older Sister,し,お","Younger Sister,まい,いもうと"
活,回,主,色,形,品,民,服,犬,同
"Lively,かつ,い","Times,かい,まわ","Main,しゅ,おも","Color,しき,いろ","Form, Shape,けい,かた","Product,ひん,しな","People,みん,たみ","Clothes,ふく,-","Dog,けん,いぬ","Same,どう,おな"
米,料,理,肉,鳥,野,菜,茶,飯,味
"Rice,べい,こめ","Fee,りょう,-","Reason,り,ことわり","Meat,にく,-","Bird,ちょう,とり","Field,や,の","Vegetable,さい,な","Tea,ちゃ,-","Meal,はん,めし","Taste, Flavor,み,あじ"
代,使,作,化,信,進,送,返,洗,注
"Substitute,だい,か","Use,し,つか","Make,さく,つく","Change,か,ば","Trust,しん,-","Advance,しん,すす","Send,そう,おく","Return,へん,かえ","Wash,せん,あら","Pour,ちゅう,そそ"
場,建,物,院,館,堂,室,工,図,号
"Location,じょう,ば","Build,けん,た","Thing,ぶつ,もの","Institution,いん,-","Public Building,かん,-","Hall,どう,-","Room,しつ,-","Construction,こう,-","Diagram,ず,え","Number,ごう,-"
交,通,動,乗,降,運,転,帰,発,着
"Change,こう,まじ","Pass Through,つう,とお","Move,どう,うご","Ride,じょう,の","Descend,こう,お","Carry,うん,はこ","Revolve,てん,ころ","Return,き,かえ","Departure,はつ,-","Wear, arrive,ちゃく,き"
漢,字,文,教,勉,習,英,考,研,究
"Chinese,かん,-","Letter,じ,-","Writing,ぶん,-","Teach,きょう,おし","Exertion,べん,-","Learn,しゅう,なら","English,えい,-","Consider,こう,かんが","Sharpen,けん,と","Research,きゅう,きわ"
問,題,試,験,質,合,答,用,紙,意
"Problem,もん,と","Topic,だい,-","Trial,し,こころ","Test,けん,ため","Quality,しつ,-","Fit,ごう,あ","Answer,とう,こた","Task,よう,もち","Paper,し,かみ","Idea,い,-"
引,開,閉,去,死,集,知,売,説,思
"Pull,いん,ひ","Open,かい,あ","Close,へい,し","Past,きょ,さ","Death,し,し","Collect,しゅう,あつ","Know,ち,し","Sell,ばい,う","Theory,せつ,と","Thought,し,おも"
